"","NPCR-Txbird2","NXC-Txbird1","NXC-Txbird2","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272133628","TX272136652","TX272136690","TX272136690-mb","TX272136698","TX272136698-mb","TX272136699","TX272136699-mb","TX279103530","TX279103546","TX279103554","TX279103554-mb","TX279103561","TX279103567","TX279103583","TX279103583-mb","TX279103586","TX279103586-mb","TX281118809","TX281118812","TX281118817","TX281118817-mb","TX281118835"
"ASV1",0,22,325,0,0,0,0,0,0,53,6,0,6,0,0,58,413,98,43,0,0,71,92,16852,0,35095,5552,1021,85,0,0,0
"ASV2",0,0,0,0,0,0,0,0,0,0,0,0,0,37983,2441,16,0,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"ASV3",913,0,1481,0,0,0,0,0,0,43,0,785,0,161,0,536,0,3,0,292,0,11680,0,225,0,221,0,707,2854,28,0,817
"ASV4",647,0,656,0,0,0,0,0,0,43,0,232,0,94,0,210,0,0,0,298,0,5747,0,186,0,86,0,916,3260,0,0,773
"ASV5",518,0,462,0,0,0,0,0,0,12,0,717,0,106,0,1728,0,0,0,463,0,2359,0,307,0,818,0,593,1924,7,0,407
"ASV6",0,0,0,0,0,0,0,104,0,12,0,476,0,286,12,623,359,0,0,1372,0,0,0,3596,0,1145,395,45,877,65,0,795
"ASV7",1250,0,2749,0,0,31,55,164,34,17,0,0,0,167,0,0,0,0,0,0,0,2123,0,274,0,245,63,0,947,20,0,256
"ASV8",0,0,531,0,0,0,0,0,0,0,0,822,0,251,0,1904,0,0,0,804,0,0,0,367,0,770,0,1748,0,0,0,0
"ASV9",0,0,0,0,0,0,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,69,13,0,0,0,0,3428
"ASV10",0,0,0,0,0,0,0,0,0,0,0,6117,120,0,0,72,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV11",0,0,13,0,12,2555,0,0,0,0,0,37,0,102,0,61,23,27,0,2221,0,8,27,253,0,79,0,14,105,0,0,442
"ASV12",0,0,354,0,0,0,0,0,0,0,0,193,0,1584,24,192,27,0,0,0,0,0,0,199,0,206,20,2940,0,0,0,0
"ASV13",0,0,0,0,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV14",220,14,271,0,0,0,0,0,0,0,0,318,0,108,0,833,61,0,0,507,0,1164,0,154,0,134,0,360,982,14,0,287
"ASV15",0,0,4,0,79,34,0,0,0,0,0,0,0,0,0,53,0,32,0,3597,0,21,26,39,0,0,0,17,21,0,0,1400
"ASV16",173,0,419,0,0,0,0,0,0,31,0,314,0,111,0,709,0,0,0,0,0,1724,0,235,0,49,0,234,665,45,0,235
"ASV17",0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,2575,0,82,0,1588,0,0,0,0
"ASV18",85,0,192,0,0,0,0,0,0,0,0,422,0,1167,44,516,92,0,0,133,0,196,0,188,0,335,0,344,713,10,0,91
"ASV19",0,0,0,1402,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368
"ASV20",0,0,49,0,0,0,0,0,0,0,0,245,0,91,0,421,0,0,0,633,0,0,18,648,0,219,0,952,13,0,0,33
"ASV21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053,0,0,0,0,0,0,0,0,0,0,0,0
"ASV22",0,0,0,198,14,0,28,25,418,61,0,0,0,0,0,0,19,68,46,0,0,69,66,246,0,38,0,256,64,9,0,956
"ASV23",0,0,0,0,0,2320,0,0,0,0,0,0,0,9,0,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV24",0,0,0,215,0,0,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV25",190,0,231,0,0,0,0,0,0,15,0,0,0,0,0,137,0,32,20,243,0,549,22,60,0,216,49,46,303,0,0,191
"ASV26",0,0,0,0,0,0,0,0,22,0,0,1663,25,95,0,139,63,0,0,0,0,0,0,39,0,54,28,0,0,0,0,120
"ASV27",0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1601,0,0,0,0
"ASV28",0,0,0,0,0,0,0,0,0,10,0,1243,11,17,0,177,0,0,0,0,0,0,0,185,0,246,80,0,84,27,0,0
"ASV29",0,0,0,0,0,0,90,0,86,0,0,0,0,0,0,1401,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV30",0,0,0,39,48,17,0,22,12,0,0,900,40,135,0,598,104,0,0,0,0,0,0,0,0,0,0,71,0,0,0,33
"ASV31",0,0,0,0,0,0,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,177,0,0,17
"ASV32",0,0,188,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,939,0,0,0,46,0,42,260,0,0,143
"ASV33",0,0,70,0,0,0,0,0,0,0,0,406,0,30,0,145,0,0,0,305,0,0,0,103,0,168,0,289,0,22,0,0
"ASV34",0,0,135,0,0,0,0,0,0,29,0,0,0,0,0,0,0,36,40,0,0,36,43,0,0,0,0,356,46,0,0,803
"ASV35",0,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV36",0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,845,0,0,0,274,0,0,0,0
"ASV37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0
"ASV38",0,0,0,0,0,0,0,0,0,0,0,263,0,24,0,89,0,0,0,204,0,0,0,649,0,97,17,0,0,0,0,52
"ASV39",0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV40",0,0,40,0,0,0,0,0,0,39,0,0,0,0,0,70,0,59,38,0,0,47,68,0,0,0,0,100,52,0,0,667
"ASV41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,824,18,0,0,0,0,0
"ASV42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0
"ASV43",0,0,0,20,0,0,0,39,115,0,0,292,0,117,0,437,0,0,0,0,0,0,0,13,0,41,29,0,0,0,0,37
"ASV44",0,0,0,0,46,0,0,29,0,0,0,0,0,30,0,103,24,0,0,130,0,0,0,407,0,210,33,0,29,0,0,89
"ASV45",8,0,89,0,0,0,0,0,0,128,0,0,0,0,0,0,0,185,68,0,0,117,204,0,0,0,0,112,113,8,0,24
"ASV46",35,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,27,0,67,0,0,184,0,0,181
"ASV47",0,0,14,0,27,92,0,41,0,13,0,0,0,52,0,0,0,17,18,383,0,11,17,267,0,18,0,0,31,0,0,23
"ASV48",0,0,81,0,0,0,0,0,0,101,0,0,0,0,0,0,0,168,89,0,0,109,186,0,0,0,0,107,145,0,0,20
"ASV49",326,0,448,0,0,0,0,0,0,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,38
"ASV50",0,0,0,0,0,903,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV51",4,0,309,0,0,0,0,0,0,53,0,0,0,12,0,228,92,45,31,0,0,35,50,0,0,0,0,48,46,0,0,0
"ASV52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,920
"ASV53",34,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,165,60,0,0,100,122,0,0,0,0,153,133,7,0,61
"ASV54",0,0,0,0,0,0,686,95,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
"ASV55",5,0,70,0,0,0,0,0,0,52,0,0,0,0,0,124,0,107,53,0,0,61,77,25,0,0,0,157,168,0,0,0
"ASV56",0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0,0,0
"ASV57",0,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,0,0,24
"ASV58",0,0,37,0,0,0,0,0,0,74,0,50,0,1,0,83,0,94,29,3,0,47,99,0,0,0,0,258,74,0,0,0
"ASV59",27,0,22,0,0,0,0,0,0,0,0,0,0,20,0,266,0,0,0,104,0,184,0,57,0,21,0,104,0,0,0,36
"ASV60",0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"ASV61",0,0,0,0,0,0,0,47,217,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513
"ASV62",0,0,0,0,0,0,0,0,0,0,0,44,0,36,0,130,0,0,0,0,0,198,0,0,0,0,0,0,249,0,0,150
"ASV63",0,11,0,0,0,0,0,0,0,0,0,0,26,0,19,0,484,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0
"ASV64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0
"ASV65",0,0,0,261,15,0,9,13,43,0,0,0,0,17,0,0,0,0,0,0,0,0,0,377,0,13,0,0,0,0,0,0
"ASV66",0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,10,47,0,0,0,0,142,0,0,0,0,0,36,220,0,0,41
"ASV67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0
"ASV68",0,0,0,23,30,64,52,34,0,0,0,0,0,83,0,38,45,0,0,29,0,0,0,134,0,0,0,0,0,0,0,180
