"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV2",0,0,0,0,0,0,0,37983,16,5,0,0,0,23,0,0,0,0
"ASV6",0,0,0,0,104,0,476,286,623,0,1372,0,0,3596,1145,45,877,795
"ASV8",0,0,0,0,0,0,822,251,1904,0,804,0,0,367,770,1748,0,0
"ASV9",0,0,0,1729,0,0,0,0,0,0,0,0,0,1479,69,0,0,3428
"ASV10",0,0,0,0,0,0,6117,0,72,0,0,0,0,0,0,0,0,22
"ASV11",0,12,2555,0,0,0,37,102,61,27,2221,8,27,253,79,14,105,442
"ASV12",0,0,0,0,0,0,193,1584,192,0,0,0,0,199,206,2940,0,0
"ASV15",0,79,34,0,0,0,0,0,53,32,3597,21,26,39,0,17,21,1400
"ASV19",1402,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2368
"ASV20",0,0,0,0,0,0,245,91,421,0,633,0,18,648,219,952,13,33
"ASV22",198,14,0,28,25,418,0,0,0,68,0,69,66,246,38,256,64,956
"ASV23",0,0,2320,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0
"ASV24",215,0,0,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV26",0,0,0,0,0,22,1663,95,139,0,0,0,0,39,54,0,0,120
"ASV28",0,0,0,0,0,0,1243,17,177,0,0,0,0,185,246,0,84,0
"ASV29",0,0,0,90,0,86,0,0,1401,0,0,0,0,0,0,0,0,0
"ASV30",39,48,17,0,22,12,900,135,598,0,0,0,0,0,0,71,0,33
"ASV31",0,0,0,4,0,0,35,0,0,0,0,0,0,0,0,1721,177,17
"ASV34",0,0,0,0,0,0,0,0,0,36,0,36,43,0,0,356,46,803
"ASV38",0,0,0,0,0,0,263,24,89,0,204,0,0,649,97,0,0,52
"ASV40",0,0,0,0,0,0,0,0,70,59,0,47,68,0,0,100,52,667
"ASV41",0,0,0,0,0,0,0,0,0,0,338,0,0,0,824,0,0,0
"ASV43",20,0,0,0,39,115,292,117,437,0,0,0,0,13,41,0,0,37
"ASV44",0,46,0,0,29,0,0,30,103,0,130,0,0,407,210,0,29,89
"ASV47",0,27,92,0,41,0,0,52,0,17,383,11,17,267,18,0,31,23
"ASV50",0,0,903,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
