"SampleID","Row.names","BandNumber","CollectionDate","Species","Type","Duplicate","Prep","Sample_or_Control","quant_reading","is.neg","S.obs","S.chao1","se.chao1.x","S.ACE","se.ACE.x","sample_sums(Tx5)","S.obs_rare","S.chao1_rare","se.chao1.y","S.ACE_rare","se.ACE.y"
"TX202145335","TX202145335",202145335,"6/5/16","OVEN","Fecal","No","Same","True Sample",10,FALSE,127,127,0,127,5.19842495831613,4471,115,129.882352941176,8.21070740488409,125.673145625189,4.24789654081432
"TX240130218","TX240130218",240130218,"4/19/16","OVEN","Fecal","No","Same","True Sample",9,FALSE,98,98,0,98,4.64230765979198,2260,96,97.3636363636364,1.7365765509289,97.6368051176021,4.44772402593368
"TX240130255","TX240130255",240130255,"4/23/16","OVEN","Fecal","No","Same","True Sample",9.3,FALSE,69,69,0,69,3.95628284037472,7820,57,59.8947368421053,2.58238462343927,62.5078965491749,3.23264227814804
"TX252145317","TX252145317",252145317,"5/5/16","OVEN","Fecal","No","Same","True Sample",10,FALSE,83,83,0,83,4.30746060544608,4636,75,79.5833333333333,3.82112986373673,80.4856688794717,3.7404300111095
"TX263105336","TX263105336",263105336,"5/3/16","OVEN","Fecal","No","Same","True Sample",9,FALSE,100,100,0,100,4.53762052181537,5342,89,96.5555555555556,4.98270136229028,98.7773859353303,4.02815822099925
"TX263105978","TX263105978",263105978,"4/8/16","OVEN","Fecal","No","Same","True Sample",10,FALSE,162,162,0,162,5.81186525805423,5037,147,152.7,3.73771275394621,155.873466030499,4.63090651438275
"TX272136690","TX272136690",272136690,"5/3/19","OVEN","CloacalSwab","Yes","Same","True Sample",0.297,FALSE,69,69,0.496363588102716,69.3443331816113,1.90136458316326,16125,63,70.5833333333333,5.44738934891537,71.1188382627232,3.89549750551943
"TX272136698","TX272136698",272136698,"5/4/19","OVEN","CloacalSwab","Yes","Same","True Sample",21.5,FALSE,108,108,0,108,3.5939764421413,43642,45,77.5,17.2151204168818,99.271549933384,6.72685389861509
"TX272136699","TX272136699",272136699,"5/4/19","OVEN","CloacalSwab","Yes","Same","True Sample",0.577,FALSE,117,117,0,117,1.96551465607557,13952,112,115.055555555556,2.69935574325105,116.000932910951,4.43390538654586
"TX279103530","TX279103530",279103530,"4/19/19","SWTH","CloacalSwab","No","Same","True Sample",0.058,FALSE,36,36,0,36,2.82842712474619,1068,36,36,0,36,2.88193607763176
"TX279103554","TX279103554",279103554,"4/29/19","SWTH","CloacalSwab","Yes","Same","True Sample",0.7,FALSE,70,70,0,NA,NA,13214,67,68.3125,1.6023064568071,70.1886534572817,3.50048344157037
"TX279103561","TX279103561",279103561,"5/4/19","SWTH","CloacalSwab","No","Same","True Sample",0.213,FALSE,32,32,0.492125492125738,32.1688311688312,2.73994211763082,1453,32,33,2.31922139494872,32.5344262295082,2.73488274779538
"TX279103567","TX279103567",279103567,"5/5/19","SWTH","CloacalSwab","No","Same","True Sample",0.05,FALSE,39,39,0.164516038930942,39.2716055724501,2.98760183786423,984,39,39,0.164516038930942,39.2716055724501,2.98760183786423
"TX279103583","TX279103583",279103583,"5/8/19","SWTH","CloacalSwab","Yes","Same","True Sample",2.25,FALSE,76,76,0.496699633899391,76.6516034985423,1.67792714130793,11365,63,69,4.69826154192689,69.583596684616,3.80920290102507
"TX279103586","TX279103586",279103586,"5/11/19","SWTH","CloacalSwab","Yes","Same","True Sample",3.76,FALSE,82,82,0.496941867336809,82.2550625,2.31155197123431,6698,78,79.75,1.91980114041538,81.6904162836083,3.89604034398496
"TX281118809","TX281118809",281118809,"5/5/19","OVEN","CloacalSwab","No","Same","True Sample",0.225,FALSE,42,43,2.32529067950354,42.6577302299912,2.78459854840864,9721,32,32.6,1.18414059851658,33.3274781341108,2.76514662920969
"TX281118812","TX281118812",281118812,"5/5/19","OVEN","CloacalSwab","No","Same","True Sample",0.155,FALSE,56,56,0,56,2.97309362689534,3643,56,61,5.53223703670014,58.4604306826179,3.70209525309026
"TX281118835","TX281118835",281118835,"5/9/19","OVEN","CloacalSwab","No","Same","True Sample",6.06,FALSE,224,225,2.34141457717813,224.422442206971,4.00279569111544,23946,161,188.025,10.4084054850717,198.869078356631,6.85164907298225
