"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",NA
"ASV2","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Diplorickettsia",NA
"ASV3","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Turicella",NA
"ASV4","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Turicella",NA
"ASV5","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA
"ASV6","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Sanguibacteraceae","Sanguibacter",NA
"ASV7","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"ASV10","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Salinicola","socius"
"ASV11","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buttiauxella",NA
"ASV12","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV13","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV14","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"ASV15","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA
"ASV16","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA
"ASV17","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV18","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia",NA
"ASV19","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
"ASV22","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV23","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV24","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV25","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"ASV26","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinomycetospora",NA
"ASV27","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus",NA
"ASV28","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV29","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Catellicoccus",NA
"ASV30","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Patulibacteraceae","Patulibacter","minatonensis"
"ASV31","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Friedmanniella",NA
"ASV32","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","auricularis"
"ASV33","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV34","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV35","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV36","Bacteria",NA,NA,NA,NA,NA,NA
"ASV37","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA
"ASV38","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV39","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Diplorickettsia",NA
"ASV40","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV41","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto",NA
"ASV42","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Herbiconiux",NA
"ASV43","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia","endophytica"
"ASV44","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium",NA
"ASV45","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus",NA
"ASV46","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus","otitis"
"ASV47","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"ASV48","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV49","Bacteria",NA,NA,NA,NA,NA,NA
"ASV50","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"ASV51","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","scophthalmum"
"ASV52","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV53","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV54","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Denitrobacterium",NA
"ASV55","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"ASV56","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
